docId,docLength
0,730
1,384
2,597
3,626
4,461
5,697
6,494
7,461
8,782
9,881
10,731
11,607
12,862
13,723
14,745
15,830
16,565
17,565
18,1012
19,738
20,1195
21,464
22,1113
23,566
24,491
25,837
