docId,docLength
0,1011
1,1185
2,821
3,975
4,1238
5,834
6,802
7,1184
8,1795
9,959
10,805
11,910
12,2718
13,2719
14,1213
15,1018
16,2351
17,1947
18,1399
19,1945
20,1540
21,1171
22,1197
23,1183
24,1003
