docId,docLength
0,731
1,859
2,933
3,810
4,1176
5,699
6,872
7,966
8,988
9,781
10,1021
11,684
12,2539
13,2039
14,1836
15,1809
16,961
17,1783
18,3020
19,2202
20,1824
21,749
22,642
23,646
24,1507
25,757
