docId,docLength
0,947
1,687
2,866
3,810
4,828
5,847
6,748
7,1061
8,2301
9,987
10,753
11,814
12,700
13,816
14,782
15,1675
16,1068
17,995
18,1440
19,1158
20,890
21,799
22,720
23,707
24,887
25,1695
26,853
27,1891
